from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:463095,IDFM:24680,2,166
IDFM:462970,IDFM:472273,2,325
IDFM:463063,IDFM:463081,2,180
IDFM:471822,IDFM:471046,2,26
IDFM:472030,IDFM:471022,2,122
IDFM:463244,IDFM:21932,2,360
IDFM:monomodalStopPlace:43073,IDFM:monomodalStopPlace:473134,2,117
IDFM:monomodalStopPlace:47136,IDFM:472123,2,17
IDFM:22225,IDFM:470776,2,283
IDFM:monomodalStopPlace:473464,IDFM:472543,2,81
IDFM:463144,IDFM:463145,2,154
IDFM:21962,IDFM:471064,2,317
IDFM:471691,IDFM:472034,2,58
IDFM:463175,IDFM:463196,2,124
IDFM:472416,IDFM:monomodalStopPlace:473169,2,100
IDFM:470737,IDFM:471738,2,114
IDFM:monomodalStopPlace:58288,IDFM:472408,2,11
IDFM:471030,IDFM:472570,2,175
IDFM:monomodalStopPlace:473064,IDFM:472370,2,149
IDFM:22149,IDFM:463182,2,184
IDFM:488016,IDFM:monomodalStopPlace:462394,2,472
IDFM:462971,IDFM:463188,2,342
IDFM:472102,IDFM:21962,2,307
IDFM:472325,IDFM:472624,2,6
IDFM:463115,IDFM:22198,2,22
IDFM:22044,IDFM:463062,2,337
IDFM:463038,IDFM:21928,2,26
IDFM:463058,IDFM:463049,2,180
IDFM:463206,IDFM:22382,2,16
IDFM:463282,IDFM:24684,2,0
IDFM:monomodalStopPlace:411498,IDFM:471066,2,26
IDFM:21959,IDFM:463060,2,360
IDFM:471233,IDFM:monomodalStopPlace:43072,2,35
IDFM:471724,IDFM:monomodalStopPlace:58566,2,25
IDFM:471958,IDFM:470761,2,55
IDFM:472013,IDFM:472102,2,4
IDFM:472110,IDFM:470776,2,19
IDFM:463006,IDFM:22367,2,2
IDFM:monomodalStopPlace:411387,IDFM:470604,2,18
IDFM:monomodalStopPlace:473396,IDFM:472421,2,21
IDFM:471466,IDFM:monomodalStopPlace:473619,2,142
IDFM:22366,IDFM:22391,2,349
IDFM:470833,IDFM:463006,2,216
IDFM:472560,IDFM:471691,2,90
IDFM:monomodalStopPlace:470519,IDFM:463006,2,162
IDFM:22199,IDFM:462960,2,180
IDFM:471150,IDFM:21964,2,337
IDFM:490906,IDFM:490916,2,2
IDFM:monomodalStopPlace:473171,IDFM:monomodalStopPlace:47928,2,213
IDFM:472060,IDFM:473009,2,25
IDFM:470776,IDFM:472273,2,3
IDFM:462969,IDFM:471063,2,379
IDFM:480224,IDFM:monomodalStopPlace:58879,2,5
IDFM:472034,IDFM:471968,2,64
IDFM:473004,IDFM:472652,2,8
IDFM:monomodalStopPlace:43072,IDFM:463024,2,240
IDFM:463043,IDFM:22086,2,98
IDFM:472034,IDFM:471186,2,97
IDFM:470734,IDFM:463183,2,265
IDFM:472217,IDFM:471958,2,91
IDFM:22197,IDFM:21909,2,180
IDFM:monomodalStopPlace:473258,IDFM:472793,2,136
IDFM:monomodalStopPlace:477262,IDFM:471389,2,93
IDFM:472325,IDFM:471552,2,38
IDFM:monomodalStopPlace:411495,IDFM:monomodalStopPlace:473155,2,68
IDFM:22391,IDFM:463157,2,13
IDFM:472934,IDFM:471064,2,81
IDFM:471832,IDFM:monomodalStopPlace:47654,2,23
IDFM:monomodalStopPlace:473561,IDFM:472431,2,34
IDFM:490837,IDFM:490850,2,3
IDFM:490841,IDFM:463235,2,303
IDFM:22157,IDFM:462980,2,370
IDFM:22053,IDFM:463236,2,13
IDFM:463070,IDFM:22028,2,12
IDFM:471738,IDFM:monomodalStopPlace:43219,2,57
IDFM:472519,IDFM:462971,2,364
IDFM:470928,IDFM:monomodalStopPlace:411362,2,31
IDFM:monomodalStopPlace:473550,IDFM:33547,2,14
IDFM:472034,IDFM:470817,2,50
IDFM:471030,IDFM:472959,2,180
IDFM:463315,IDFM:22163,2,312
IDFM:463060,IDFM:463158,2,271
IDFM:472217,IDFM:17896,2,211
IDFM:monomodalStopPlace:43149,IDFM:470868,2,43
IDFM:472979,IDFM:monomodalStopPlace:473064,2,134
IDFM:monomodalStopPlace:473237,IDFM:462970,2,52
IDFM:470629,IDFM:monomodalStopPlace:43217,2,15
IDFM:472959,IDFM:monomodalStopPlace:43072,2,37
IDFM:472378,IDFM:472034,2,10
IDFM:21926,IDFM:21964,2,287
IDFM:471022,IDFM:472861,2,119
IDFM:22218,IDFM:472110,2,332
IDFM:472093,IDFM:471264,2,89
IDFM:monomodalStopPlace:45745,IDFM:480393,2,210
IDFM:462946,IDFM:21903,2,76
IDFM:472914,IDFM:471822,2,57
IDFM:470761,IDFM:471925,2,71
IDFM:monomodalStopPlace:47964,IDFM:471622,2,58
IDFM:22217,IDFM:463303,2,11
IDFM:monomodalStopPlace:462394,IDFM:22007,2,97
IDFM:471328,IDFM:470817,2,40
IDFM:472142,IDFM:462970,2,328
IDFM:472582,IDFM:472344,2,8
IDFM:22385,IDFM:490848,2,180
IDFM:472572,IDFM:monomodalStopPlace:47909,2,28
IDFM:472354,IDFM:472961,2,10
IDFM:471482,IDFM:471691,2,133
IDFM:472323,IDFM:472865,2,124
IDFM:472961,IDFM:472030,2,99
IDFM:472742,IDFM:471308,2,5
IDFM:462988,IDFM:462987,2,72
