CODE_UIC;DESCRIPTION;LOCALITY_UIC
54368951;VYSKOV NA MORAVE;
74026500;LAGGESTA;
88962308;VICHTE;
87500934;SOUGY-SUR-LOIRE - BIFURCATION N. 81/ D. 262;
87500959;GUILLERVAL;
87500991;SAINT-LEGER-DES-VIGNES - FAUBOURG LES VALETTES;
87500900;SAINT-OUEN - LE PORT DES BOIS;
87500850;POUGUES-LES-EAUX - MAIRIE;
87500876;SAINT-OUEN - ARRET DE CARS;
87500819;PETIT FLEZ - D. 985;
94735696;VILA REAL DE SANTO ANTONIO;
56177253;PUCHOV;
74022889;LAHOLM;
70306209;PEWSEY;
74022608;KOPING;
51080416;KRAKOW G OWNY;
88965038;IEPER;
70296608;MANCHESTER OXFORD ROAD;
94485466;VILA FRANCA DAS NAVES;
51080630;TARNOW;
70296806;MANCHESTER PICCADILLY;
87406983;FENETRANGE LE VAL FLEURI;57021540
87406991;SARRALBE CENTRE;
87406967;ROHRBACH-LES-BITCHE RUE DES ALLIES;57019378
87406975;FENETRANGE GENDARMERIE;57021540
87406900;SARREGUEMINES POSTE;57019361
87406918;MERTZWILLER RUE DU MOULIN;67021320
87406959;ENCHENBERG MAIRIE;
87406926;PHILIPPSBOURG LIESCHBACH;
87406934;BITCHE RUE DE LA PAIX;57019382
87500074;LUZY - PREMAUDE;
87500082;LUZY CHAMPS DE FOIRE;
80250969;KOBERN GONDORF;
87406884;FAREBERSVILLER RUE DU MOULIN;57019351
87406850;COCHEREN VILLAGE;
87406868;FAREBERSVILLER CITE;57019351
87406892;FARSCHVILLER CENTRE;57019352
87406801;KEDANGE EGLISE;57019134
87406835;METZERVISSE CENTRE;57019131
87406843;METZERVISSE EGLISE;57019131
87406819;KUNTZIG BIBICHE;57019133
87406827;KUNTZIG PLACE DE LA LIBERTE;57019133
70546606;ASHFORD - INTERNATIONAL;70954660
70546507;LONDON WATERLOO INT;70970011
85097907;LENZERHEIDE / LAI, POST;
87500793;NEVERS - LE MOUESSE POLE EMPLOI;
87396200;DOMFRONT-EN-CHAMPAGNE;
87396218;CONLIE;
87396226;CRISSE;
87396234;SILLE-LE-GUILLAUME;
87396259;ROUESSE-VASSE;
87396275;CHAMPAGNE;
87396283;SAINT-MARS-LA-BRIERE;
87396291;MONTFORT-LE-GESNOIS;
71374108;GUARENA;
80191064;BERG (PFALZ);
80646133;MAXIMILIANSAU IM RUSTEN;
80646141;NEUBURG (RHEIN);
80010546;BUCHEN;
87396192;LA MILESSE - LA BAZOGE;
71374066;VILLANUEVA DE LA SERENA;
71374074;DON BENITO;
85097741;FLIMS WALDHAUS CAUMASEE;
71374025;CASTUERA;
71374041;CAMPANARIO;
71374009;ALMORCHON;
87396408;SABLE-SUR-SARTHE;
83045146;LAIGUEGLIA;
83045153;ALASSIO;
83045161;ALBENGA;
83045179;CERIALE;
83045195;LOANO;
54367953;VESELI NAD MORAVOU;
85097865;LAAX GR POSTA;
80250373;GEROLSTEIN;
87396309;CONNERRE - BEILLE;
87396317;SCEAUX - BOESSE-LE-SEC;
87396325;LA FERTE-BERNARD;
80010710;HAMBURG HBF;
87396333;LE THEIL - LA ROUGE;
87396358;VOIVRES;
87396366;LA SUZE;
87396374;NOYEN;
87396382;AVOISE;
83045013;VENTIMIGLIA;
83045039;BORDIGHERA;
83045054;SANREMO;
83045062;TAGGIA ARMA;
87396606;CHATEAU-DU-LOIR;87939660
87396630;CHATEAU-LA-VALLIERE;
83045302;CELLE;
83045310;VARAZZE;
83045328;COGOLETO;
83045336;ARENZANO;
83045344;GENOVA VOLTRI;
80010892;HAMBURG - DAMMTOR;
83045351;GENOVA PRA;
83045369;GENOVA PEGLI;
83045377;GENOVA SESTRI PONENTE AEROPORTO;
87396507;CLEFS;
87396549;ARNAGE;72039654
80010934;HAMBURG - ALTONA;
87396556;LAIGNE - SAINT-GERVAIS;
87396564;ECOMMOY;
87396572;AUBIGNE-RACAN;
87396580;MAYET;
83045203;PIETRA LIGURE;
87396598;VAAS;
83045211;BORGIO-VEREZZI;
83045229;FINALE LIGURE MARINA;
83045237;IMPERIA;
83045245;DIANO;
83045252;ANDORA;
83045260;SPOTORNO-NOLI;
83045294;ALBISOLA;
87406769;FALCK RUE PRINCIPALE;
87406777;HOMBOURG CHAPELLE;57019327
87396895;CLERMONT LA ROTONDE;63073400
87406744;DISTROFF EGLISE;57019132
87406751;EBERSVILLER CENTRE;57019137
87406793;HOMBOURG TILLEULS;57019327
87406728;BOUZONVILLE RUE D'ALZING;57019317
87406736;CREUTZWALD GARE ROUTIERE;
87406702;LONGUYON LA MACHINE;54019427
87406710;LONGWY ESPACE BUS;54019400
87406660;CONS-LA-GRANDVILLE HAUT FOURNEAU;54019445
87406694;LEXY RUE DU SQUARE;54011760
87406678;CONS-LA-GRANDVILLE LOTISSEMENT;54019445
87406686;LEXY PROVIDENCE USINE;54011760
87406611;LONGUYON PONT DES DEUX EAUX;54019427
74023416;LESSEBO;
74023259;LEKSAND;
80156315;BLANKENHEIM (WALD);
74023184;LAXA;
80156398;BERGISCH GLADBACH;
74023002;LANDSKRONA OSTRA;
80273318;HAGENOW LAND;
70296103;MANCHESTER AIRPORT;
87396002;LE MANS;72039600
87396028;NEUVILLE;
87396036;LA GUIERCHE;
87396044;MONTBIZOT;
87396051;TEILLE;
87396077;VIVOIN - BEAUMONT;
87396093;LA HUTTE COULOMBIERS;
94830067;EVORA;
51081208;D BICA;
51081265;S DZISZOW MA OPOLSKI;
87741991;STAR GARE LE COTEAU;
87741900;MARTIGNY-LES-BAINS COLLEGE;
87741678;LA BATHIE;
87741686;CEVINS - ECHANGEUR;
87741645;ALBERTVILLE;
87741611;GRESY-SUR-ISERE;
87741629;FRONTENEX;
87741694;NOTRE-DAME DE BRIANCON;
87741793;BOURG-SAINT-MAURICE;
87741769;AIME - LA PLAGNE;
87741777;LANDRY;
87741728;MOUTIERS - SALINS - BRIDES-LES-BAINS;
70151209;BEDFORD;
87741702;LA LECHERE-LES-BAINS - PETIT COEUR;
70307405;NEWBURY;
87741710;AIGUEBLANCHE - CENTRE;
74023960;LIMMARED;
87981928;LE BLANC-MESNIL - CENTRE;
53538132;PIATRA-NEAM ;
87981803;FRET;
87981738;PORTE DE PANTIN;
51081901;NOWY S CZ;
87158006;GOUZON CHAMP DE FOIRE;
87158030;CHENERAILLES - PLACE DU CHAMP DE FOIRE;
87491449;COGNAC;
87741009;CHAMBERY - CHALLES-LES-EAUX;
87741074;CULOZ;
70787705;DARLINGTON;
87491472;JARNAC;
87491357;SAINT-JEAN-D'ANGELY;
87741132;AIX-LES-BAINS - LE REVARD;
87491324;SAINT-HILAIRE - BRIZAMBOURG;
87741108;VIONS - CHANAZ;
87741116;CHINDRIEUX;
87741181;MONTMELIAN;
87741140;VIVIERS-DU-LAC;
87491506;CHATEAUNEUF-SUR-CHARENTE;
87741454;SAINT-BERON - LA BRIDOIRE;
87741462;DOMESSIN LE BONNARD;
87741439;LEPIN-LE-LAC - LA BAUCHE;
87741447;LA BRIDOIRE;
87741421;AIGUEBELETTE-LE-LAC;
87491811;SAUJON;
87491803;ROYAN;
87741496;LES ABRETS - FITILIEU;
87741470;PONT-DE-BEAUVOISIN;
87491779;BARBEZIEUX-SAINT-HILAIRE;
87741504;VIRIEU-LE-GRAND - BELLEY;
87741231;CHAMOUSSET;
87741249;AITON SALLE POLYVALENTE;
87741215;SAINT-JEAN-DE-LA-PORTE;
87741223;SAINT-PIERRE-D'ALBIGNY;
87741298;LES CHAVANNES-EN-MAURIENNE - SAINT-REMY-DE-MAURIENNE;
87741272;ARGENTINE;
87741280;EPIERRE - SAINT-LEGER;
87741256;AIGUEBELLE;
87501999;ROBERT SCHUMAN;
87741306;SAINT-AVRE - LA CHAMBRE;
56178954;VRUTKY;
80155614;KOLN MESSE/DEUTZ;80980500
87407296;NIEDERBRONN-LES-BAINS USINE;67021325
87407262;GUNDERSHOFFEN AU CYGNE;67021322
80155689;PORZ (RHEIN);
87407270;NIEDERBRONN-LES-BAINS ARCHEOLOGIE;67021325
87407320;SCHWEIGHOUSE-SUR-MODER VILLA;67021310
70880500;PERTH;
80155721;TROISDORF;
87407171;MORHANGE JEANNE D'ARC;57019228
80155770;BONN - BEUEL;80980192
87407189;SARREBOURG PLACE MATHEY;57021501
87407155;MORHANGE PLACE DE LA REPUBLIQUE;57019228
87157867;MONTBOUCHER - LA GANE DU CLOS;
87157875;SAUVIAT SUR VIGE;
87157842;LA POUGE;
87157859;PONTARION - CENTRE;
87407247;BUDANGE RUE D'ABONCOURT;
80155820;KONIGSWINTER;
80155853;BAD HONNEF (RHEIN);
80155887;SIEGBURG/BONN;
80155895;HENNEF (SIEG);
87407494;ABREST MAIRIE;
87157941;SAINT-JUST LE MARTEL - LE VERDEAU;
87157974;PANAZOL - LEON BLUM;
87157982;SAINT-MICHEL DE VEISSE - COURCELLES;
87157958;SAINT-JUST-LE-MARTEL - LES CHABANNES;
87157966;ROYERES;
87407577;CHATELDON;
87407585;CLERMONT-FERRAND - DOLLET;63073400
87407551;BRETENOUX - BIARS-SUR-CERE CROISEMENT;46059476
